iter	Accuracy	MultiClass
0	0.8548030115	1.299869844
1	0.867614976	1.221595331
2	0.9033295542	1.140686527
3	0.9190541554	1.071795422
4	0.9378546765	1.021092894
5	0.9449921926	0.9670267345
6	0.9489574794	0.9168615078
7	0.9323032751	0.8776652248
8	0.9434060779	0.8412703165
9	0.9434060779	0.8034201888
10	0.9513366514	0.7681155593
11	0.9505435941	0.732729707
12	0.9545088808	0.7054228763
13	0.9497505367	0.6771417591
14	0.9497505367	0.6534435454
15	0.9489574794	0.6293761807
16	0.948164422	0.6048838176
17	0.948164422	0.5822342543
18	0.9497505367	0.5621670518
19	0.9497505367	0.5412771646
20	0.9497505367	0.5225890667
21	0.9505435941	0.5055884215
22	0.9521297087	0.4894091243
23	0.9553019381	0.4733824992
24	0.9568880528	0.4597902028
25	0.9600602822	0.4455744958
26	0.9568880528	0.4336337638
27	0.9600602822	0.4219920625
28	0.9600602822	0.4109729395
29	0.9616463969	0.3973508493
30	0.9600602822	0.3849905503
31	0.9640255689	0.3742295535
32	0.9648186263	0.3634972251
33	0.9648186263	0.3550984632
34	0.9648186263	0.344679849
35	0.9648186263	0.3360542399
36	0.9671977983	0.3287876925
37	0.9671977983	0.3203955048
38	0.9671977983	0.3123766578
39	0.9671977983	0.3048388206
40	0.9671977983	0.297947109
41	0.968783913	0.2901373693
42	0.968783913	0.2838065623
43	0.968783913	0.2774421451
44	0.9671977983	0.2709630393
45	0.9671977983	0.2660459208
46	0.968783913	0.260252936
47	0.9671977983	0.2540354456
48	0.968783913	0.2492916832
49	0.9695769704	0.2441922286
50	0.9695769704	0.2393868675
51	0.9695769704	0.2339916592
52	0.9703700277	0.2293425666
53	0.9695769704	0.2254809904
54	0.9719561424	0.2209662285
55	0.9727491997	0.2171623884
56	0.9727491997	0.2130784817
57	0.9727491997	0.2078821506
58	0.9727491997	0.203506235
59	0.9727491997	0.1988559448
60	0.9735422571	0.1953112937
61	0.9735422571	0.1921742917
62	0.9735422571	0.1890869141
63	0.9735422571	0.1854739647
64	0.9735422571	0.1819832757
65	0.9735422571	0.1784447349
66	0.9735422571	0.1750560825
67	0.9735422571	0.172626516
68	0.9735422571	0.169933202
69	0.9735422571	0.1674501805
70	0.9735422571	0.1648298013
71	0.9743353144	0.1623209471
72	0.9743353144	0.1599100219
73	0.9743353144	0.1579009205
74	0.9743353144	0.1558426555
75	0.9743353144	0.1528005318
76	0.9743353144	0.1501092839
77	0.9751283718	0.1478823018
78	0.9791071573	0.1456441692
79	0.9777808955	0.1435672593
80	0.9791071573	0.1416250843
81	0.9791071573	0.1392778158
82	0.9791071573	0.13604027
83	0.9791071573	0.1346138677
84	0.9791071573	0.1329886834
85	0.9791071573	0.1314696921
86	0.9791071573	0.1295425823
87	0.9791071573	0.1277975659
88	0.9791071573	0.126499698
89	0.9791071573	0.1251754674
90	0.9791071573	0.1226877141
91	0.9791071573	0.1210713809
92	0.9791071573	0.1194188261
93	0.9791071573	0.1182201343
94	0.9799002147	0.1174944966
95	0.9799002147	0.1158759427
96	0.9791071573	0.1146448704
97	0.9799002147	0.1129094779
98	0.9799002147	0.1116050609
99	0.9799002147	0.1102812021
100	0.9799002147	0.1089952244
101	0.9814863294	0.1074331282
102	0.9814863294	0.1058858424
103	0.9846585588	0.1048239109
104	0.9854516161	0.1029229002
105	0.9862446734	0.102082937
106	0.9846585588	0.1010891725
107	0.9862446734	0.1002436981
108	0.9862446734	0.09909505166
109	0.9870377308	0.09833464751
110	0.9878307881	0.09723345711
111	0.9878307881	0.0963347187
112	0.9878307881	0.09548005914
113	0.9878307881	0.09448162345
114	0.9878307881	0.09301199768
115	0.9878307881	0.09199812144
116	0.9878307881	0.09107020395
117	0.9878307881	0.09021749836
118	0.98915705	0.08932982459
119	0.98915705	0.08846325668
120	0.98915705	0.08761898573
121	0.98915705	0.08664434467
122	0.98915705	0.08562605724
123	0.9904833118	0.08404840785
124	0.9904833118	0.08231464664
125	0.9904833118	0.08107097375
126	0.9904833118	0.08025245521
127	0.9904833118	0.07933015791
128	0.9928624839	0.07889125798
129	0.9928624839	0.07810099477
130	0.991536222	0.0771995012
131	0.9928624839	0.07656768515
132	0.9928624839	0.075759558
133	0.9928624839	0.07501780307
134	0.9928624839	0.07417111097
135	0.9928624839	0.07336809877
136	0.9928624839	0.0724779439
137	0.9928624839	0.07169793876
138	0.9928624839	0.07104300215
139	0.9928624839	0.07048407171
140	0.9928624839	0.06981898322
141	0.9936555412	0.06909603806
142	0.9936555412	0.06860600361
143	0.9936555412	0.06813818765
144	0.9936555412	0.06758091723
145	0.9936555412	0.06689393433
146	0.9936555412	0.06624144359
147	0.9936555412	0.06581134411
148	0.9936555412	0.06506829703
149	0.9936555412	0.064714923
150	0.9936555412	0.06415815215
151	0.9936555412	0.06361052605
152	0.9936555412	0.06314127434
153	0.9936555412	0.06259518533
154	0.9936555412	0.06193513127
155	0.9936555412	0.06152708852
156	0.9936555412	0.06093484128
157	0.9936555412	0.06056442815
158	0.9936555412	0.06016245632
159	0.9936555412	0.0595804521
160	0.9936555412	0.05904958165
161	0.9936555412	0.0584768919
162	0.9936555412	0.05803605464
163	0.9936555412	0.05753254134
164	0.9936555412	0.05701614189
165	0.9936555412	0.05648581333
166	0.9936555412	0.05607519645
167	0.9936555412	0.05567758019
168	0.9936555412	0.0554343405
169	0.9936555412	0.0547622249
170	0.9936555412	0.05434377489
171	0.9936555412	0.05391864052
172	0.9936555412	0.05350770305
173	0.9936555412	0.05315393054
174	0.9936555412	0.05254283039
175	0.9936555412	0.05222006382
176	0.9936555412	0.0518635239
177	0.9936555412	0.05144278087
178	0.9936555412	0.05095807536
179	0.9936555412	0.05061479634
180	0.9936555412	0.05014558907
181	0.9936555412	0.04972654572
182	0.9936555412	0.04942585422
183	0.9936555412	0.04912268974
184	0.9936555412	0.04879159985
185	0.9936555412	0.04838402806
186	0.9936555412	0.04791059329
187	0.9936555412	0.0477080516
188	0.9936555412	0.04737144966
189	0.9936555412	0.04699819178
190	0.9944485986	0.04659055332
191	0.9944485986	0.0462642304
192	0.9960347133	0.04582157929
193	0.9960347133	0.04540652282
194	0.997620828	0.04495371561
195	1	0.04473645702
196	1	0.04450849103
197	1	0.04410085026
198	1	0.04363881933
199	1	0.04328257158
200	1	0.04290226677
201	1	0.04252247637
202	1	0.04207264296
203	1	0.04164911684
204	1	0.0413580559
205	1	0.04108350423
206	1	0.04083971284
207	1	0.04055593655
208	1	0.04022165604
209	1	0.03998434654
210	1	0.03969088026
211	1	0.03937229582
212	1	0.03908883219
213	1	0.03874702972
214	1	0.03854297106
215	1	0.03828628988
216	1	0.03794972017
217	1	0.03766515771
218	1	0.0373948805
219	1	0.037214679
220	1	0.03690649767
221	1	0.03664438195
222	1	0.03640691659
223	1	0.03620984987
224	1	0.03593450558
225	1	0.03570403524
226	1	0.03558645986
227	1	0.03542509194
228	1	0.03521200725
229	1	0.03500491451
230	1	0.03478025958
231	1	0.03470521905
232	1	0.0345625149
233	1	0.03448187985
234	1	0.03420799073
235	1	0.03409291384
236	1	0.03393085556
237	1	0.03368660237
238	1	0.03344917287
239	1	0.03329842458
240	1	0.03308394615
241	1	0.03287430313
242	1	0.03268146781
243	1	0.03255037031
244	1	0.0322793762
245	1	0.03203799032
246	1	0.03190672214
247	1	0.0317035689
248	1	0.03147689251
249	1	0.03129529606
250	1	0.03116993473
251	1	0.03107816489
252	1	0.03088795803
253	1	0.03069873104
254	1	0.03051990548
255	1	0.03040885695
256	1	0.0302746271
257	1	0.03013358166
258	1	0.0299534902
259	1	0.02978567141
260	1	0.02959931312
261	1	0.02945808055
262	1	0.02933384543
263	1	0.02917886309
264	1	0.02894917621
265	1	0.02883033193
266	1	0.02872279475
267	1	0.02860368017
268	1	0.02844467482
269	1	0.02824769497
270	1	0.02815398435
271	1	0.02802518684
272	1	0.02788696305
273	1	0.02779058994
274	1	0.0276178368
275	1	0.02745707579
276	1	0.02736637062
277	1	0.02723440693
278	1	0.02711126241
279	1	0.02701556994
280	1	0.02686414826
281	1	0.02677802908
282	1	0.02662075962
283	1	0.02653229192
284	1	0.02643158698
285	1	0.0263021019
286	1	0.02618894921
287	1	0.02604560477
288	1	0.025893713
289	1	0.0257963912
290	1	0.02569813991
291	1	0.0256158712
292	1	0.02552818197
293	1	0.02537074563
294	1	0.02527137686
295	1	0.02512832587
296	1	0.02498885634
297	1	0.02482602964
298	1	0.02467049563
299	1	0.02455652279
300	1	0.02447360273
301	1	0.02433613308
302	1	0.02422389235
303	1	0.02415685998
304	1	0.0240668353
305	1	0.02397334653
306	1	0.02387783887
307	1	0.02377981902
308	1	0.02365319776
309	1	0.02356759651
310	1	0.02344923157
311	1	0.02334291133
312	1	0.02314638432
313	1	0.02302179717
314	1	0.02293619637
315	1	0.02285006446
316	1	0.02274701141
317	1	0.02267635554
318	1	0.02259011565
319	1	0.02251510159
320	1	0.02245334747
321	1	0.02236801252
322	1	0.02230884059
323	1	0.02221613048
324	1	0.0221103415
325	1	0.02202240956
326	1	0.02193424825
327	1	0.0218679651
328	1	0.02179102416
329	1	0.02172016924
330	1	0.02166184747
331	1	0.02156738603
332	1	0.02146129952
333	1	0.02139823782
334	1	0.02134325726
335	1	0.02126005403
336	1	0.02116299196
337	1	0.02104961017
338	1	0.02098125887
339	1	0.02087712351
340	1	0.02079270765
341	1	0.02073634633
342	1	0.02067337906
343	1	0.02059947664
344	1	0.02055114594
345	1	0.02049923986
346	1	0.02038525655
347	1	0.02033226429
348	1	0.02027602985
349	1	0.02012879996
350	1	0.02001079618
351	1	0.01992194316
352	1	0.01983383084
353	1	0.01977096011
354	1	0.01970325208
355	1	0.01964719881
356	1	0.01957252193
357	1	0.01951130897
358	1	0.01945506083
359	1	0.01937182985
360	1	0.0192812171
361	1	0.01923054431
362	1	0.01914764985
363	1	0.01910128538
364	1	0.01904473414
365	1	0.0189655351
366	1	0.01892957868
367	1	0.01889703804
368	1	0.01886231908
369	1	0.01879334432
370	1	0.0187481946
371	1	0.01864325003
372	1	0.01859626778
373	1	0.01849285462
374	1	0.01843508652
375	1	0.01837443492
376	1	0.01830178916
377	1	0.01824251129
378	1	0.01818313322
379	1	0.01813623806
380	1	0.01807961235
381	1	0.01801159306
382	1	0.01792608613
383	1	0.01786944678
384	1	0.01780512643
385	1	0.01775599335
386	1	0.01772106045
387	1	0.01765608808
388	1	0.01758251412
389	1	0.01753431304
390	1	0.01747486817
391	1	0.0174056683
392	1	0.01736581736
393	1	0.01730152048
394	1	0.01721490691
395	1	0.01714173571
396	1	0.01710795016
397	1	0.01705746206
398	1	0.01697721959
399	1	0.01692008237
400	1	0.01681527948
401	1	0.01678067946
402	1	0.01674366738
403	1	0.01667191026
404	1	0.01661947474
405	1	0.01658885677
406	1	0.01654106075
407	1	0.01648837689
408	1	0.01644881953
409	1	0.01640305017
410	1	0.016357766
411	1	0.01632622802
412	1	0.01629570102
413	1	0.01625926968
414	1	0.01620479756
415	1	0.01616663678
416	1	0.01613394945
417	1	0.01611420646
418	1	0.01604202633
419	1	0.01598839119
420	1	0.01596588742
421	1	0.01590210783
422	1	0.01586599628
423	1	0.01583103147
424	1	0.01576910598
425	1	0.01570987225
426	1	0.01566468301
427	1	0.01562656783
428	1	0.01558030662
429	1	0.01554090475
430	1	0.0154931633
431	1	0.01543691304
432	1	0.01541962394
433	1	0.01539264284
434	1	0.01534819799
435	1	0.01531579695
436	1	0.01527724567
437	1	0.01525044763
438	1	0.01522250601
439	1	0.01518034661
440	1	0.01515457327
441	1	0.01510144275
442	1	0.0150660508
443	1	0.01501544672
444	1	0.01497521334
445	1	0.01493876616
446	1	0.01489831075
447	1	0.01487333579
448	1	0.01483995707
449	1	0.01480428626
450	1	0.0147779392
451	1	0.01475122539
452	1	0.01471890891
453	1	0.0146877649
454	1	0.01465711023
455	1	0.01463166734
456	1	0.01457940787
457	1	0.01454306574
458	1	0.01451702912
459	1	0.01447233076
460	1	0.01442468766
461	1	0.01439921887
462	1	0.01435984248
463	1	0.01432852018
464	1	0.01428777242
465	1	0.01422840011
466	1	0.01418296379
467	1	0.01414817644
468	1	0.01406554141
469	1	0.01400053951
470	1	0.01395638893
471	1	0.01392411126
472	1	0.01387972199
473	1	0.01384065418
474	1	0.01380468141
475	1	0.01376963401
476	1	0.01373621061
477	1	0.01371225614
478	1	0.01368123616
479	1	0.01365324872
480	1	0.01363733374
481	1	0.01357214162
482	1	0.01353694958
483	1	0.01351468254
484	1	0.01349789184
485	1	0.01348173654
486	1	0.0134273996
487	1	0.01339138913
488	1	0.01336205439
489	1	0.01332933263
490	1	0.01329470823
491	1	0.01326486788
492	1	0.01322574783
493	1	0.01319353507
494	1	0.01317776365
495	1	0.01314852251
496	1	0.01310787358
497	1	0.0130785251
498	1	0.01303419309
499	1	0.01301218614
